Company,Brand / Division,Job Title,City,State,Region,Level,Employment Type,Est. Annual Salary (Low),Est. Annual Salary (High),Est. Hourly (Low),Est. Hourly (High),Key Skills / Focus Areas,Apply / Source URL,Platform,Notes
URBN,Anthropologie,Supply Chain Analyst,Philadelphia,PA,Philadelphia,Mid-Level,Full-Time,$70000,$101000,,,"Inventory planning; vendor management; data analysis; ERP systems","https://www.linkedin.com/jobs/urbn-urban-outfitters-anthropologie-group-free-people-nuuly-jobs-philadelphia-pa",LinkedIn,"Active listing; URBN HQ at Philadelphia Navy Yard (5000 S Broad St)"
URBN,Anthropologie,Product Development Coordinator,Philadelphia,PA,Philadelphia,Entry-Mid,Full-Time,$43000,$62000,,,"Product development; vendor relations; sample management; PLM systems","https://www.linkedin.com/jobs/urbn-urban-outfitters-anthropologie-group-free-people-nuuly-jobs-philadelphia-pa",LinkedIn,"URBN Home Office - Navy Yard, Philadelphia"
URBN,Anthropologie,Product Development Coordinator (variant),Philadelphia,PA,Philadelphia,Entry-Mid,Full-Time,$44000,$65000,,,"Product development; materials sourcing; factory communication","https://www.glassdoor.com/Jobs/URBN-Philadelphia-Jobs-EI_IE2770817.0,4_IL.5,17_IC1152672.htm",Glassdoor,"Multiple PD Coordinator openings listed; confirm exact role on urbn.com/careers"
URBN,Free People / FP Movement,Sr. Production Coordinator,Philadelphia,PA,Philadelphia,Mid-Level,Full-Time,$44000,$64000,,,"Production coordination; on-time delivery tracking; factory allocation; compliance","https://www.linkedin.com/company/urban-outfitters-inc/jobs",LinkedIn,"FP Movement division focus"
URBN,Free People,Temporary Part-Time Product Development & Production Assistant,Philadelphia,PA,Philadelphia,Entry-Level,Part-Time / Contract,$44000,$64000,,,"Production support; sample tracking; vendor communication; admin support","https://www.linkedin.com/jobs/view/urbn-temporary-part-time-product-development-production-assistant-at-urbn-urban-outfitters-anthropologie-group-free-people-nuuly-3069225455",LinkedIn,"Part-time/temporary role; on-site at Navy Yard HQ"
Capri Holdings,Michael Kors / Versace / Jimmy Choo,Corporate Internship – Supply Chain & Logistics,New York,NY,NYC / NJ Hybrid,Internship,Internship,,,,,,,"Supply chain & logistics exposure; corporate cross-functional rotation; NYC HQ or NJ office","https://capri.wd1.myworkdayjobs.com/Michael_Kors",Capri Workday Careers,"Hybrid Mon–Thu 32 hrs/wk; NYC HQ or NJ office; Jun 2026"
IHL Group,,Production Manager – Kids Apparel,New York,NY,NYC,Mid-Level,Full-Time,,,,,,"Factory & logistics agent communication; production tracking reports; cost breakdowns; on-time delivery; sample management; compliance","https://www.indeed.com/q-Supply-Chain-&-Logistics-Fashion-l-New-York,-NY-jobs.html",Indeed / LinkedIn,"Multi-brand/multi-channel fashion apparel company; NYC-based"
Tory Burch,,Allocation Analyst,New York / Secaucus,NY / NJ,NYC / NJ,Mid-Level,Full-Time,,,,,,"Sourcing; procurement; supply chain management; allocation planning; 5 yrs apparel manufacturing experience","https://www.indeed.com/q-fashion-l-secaucus,-nj-jobs.html",Indeed,"Role tied to NJ/NYC area; 5 yrs apparel industry SC experience required"
Coach (Tapestry),Coach,Supply Chain & Logistics (various),Jersey City,NJ,New Jersey,Mid-Level,Full-Time,,,,,,"Logistics operations; inventory management; distribution; vendor coordination","https://careers.tapestry.com/",Tapestry Careers,"Coach's NJ operations hub in Jersey City"
Gucci (Kering),Gucci,Manager Digital Merchandising,Jersey City,NJ,New Jersey,Senior,Full-Time,,,,,,"Digital merchandising; inventory planning; supply chain coordination; e-commerce operations","https://www.linkedin.com/jobs/supply-chain-jobs-new-jersey",LinkedIn,"Active hiring noted in Jersey City NJ; verify on Kering careers site"
Randa Apparel & Accessories,,Logistics & Supply Chain Roles (Multiple Openings),Bloomfield,NJ,New Jersey,Entry-Mid,Full-Time,,,16,26,"Shipping & receiving; inventory management; production planning; cost control; tracking goods from international agents","https://randa.net/careers/",Randa Careers,"World's largest men's accessories company; 300K+ units shipped daily; multiple openings"
Randa Apparel & Accessories,,Logistics Center Operations (Picking / Packing / Planning / Shipping),Bloomfield,NJ,New Jersey,Entry-Level,Full-Time,,,16,22,"Warehouse logistics; picking & packing; shipping & receiving; inventory control","https://randa.net/careers-logistics/",Randa Logistics Careers,"Benefits: health/vision/dental + wellness programs"
Tiffany & Co.,Tiffany & Co.,Supply Chain Planning Intern,Parsippany,NJ,New Jersey,Internship,Internship,,,,,,"Supply chain planning; IT supply chain systems; cross-functional project support","https://www.glassdoor.com/Job/new-jersey-fashion-logistics-jobs-SRCH_IL.0,10_IS39_KO11,28.htm",Glassdoor / Tiffany Careers,"NJ office; also IT Supply Chain Systems internship track available"
Fashion Logistics Inc.,,Logistics Operations Roles (Multiple),Hasbrouck Heights,NJ,New Jersey,Entry-Mid,Full-Time,,,17,26,"Fashion 3PL operations; apparel logistics; warehousing; transportation; distribution management","https://www.linkedin.com/company/fashion-logistics",LinkedIn,"Specialized 3PL for fashion/apparel; ~72 employees; 3 continents; $10–25M revenue"
Supreme (VF Corp),Supreme,Supply Chain / Operations Roles,New York,NY,NYC,Mid-Senior,Full-Time,,,,,,"Streetwear supply chain; inventory management; distribution; demand planning; cross-functional ops","https://www.glassdoor.com/Job/new-york-supply-chain-fashion-jobs-SRCH_IL.0,8_IC1132348_KO9,29.htm",Glassdoor,"VF Corp-owned; NYC-based; check vfc.com/careers or Supreme direct"
Fast Retailing (Uniqlo),Uniqlo,Supply Chain Operations,New York,NY,NYC,Mid-Level,Full-Time,,,,,,"Global supply chain; inventory optimization; logistics; demand forecasting; vendor management","https://www.glassdoor.com/Job/new-york-supply-chain-fashion-jobs-SRCH_IL.0,8_IC1132348_KO9,29.htm",Glassdoor,"Fast Retailing US HQ in NYC; verify openings at careers.fastretailing.com"
Delta Galil Industries,,Supply Chain / Logistics,New York,NY,NYC,Mid-Level,Full-Time,,,,,,"Apparel supply chain; intimates & activewear category; vendor relations; production coordination","https://www.glassdoor.com/Job/new-york-supply-chain-fashion-jobs-SRCH_IL.0,8_IC1132348_KO9,29.htm",Glassdoor,"Global intimate apparel manufacturer; NYC US office"
Foot Locker,,Supply Chain / Distribution Roles,New York,NY,NYC,Mid-Level,Full-Time,,,,,,"Athletic footwear & apparel distribution; supply chain operations; inventory management; DC management","https://www.builtinnyc.com/jobs/operations/fashion",Built In NYC,"Footwear/apparel category; NYC HQ"
Fanatics Retail Group Fulfillment LLC,,Fulfillment & Logistics Operations,New York,NY,NYC,Entry-Mid,Full-Time,,,,,,"Fulfillment center operations; logistics coordination; e-commerce order management; inventory","https://www.builtinnyc.com/jobs/operations/fashion",Built In NYC,"Sports apparel/licensed merchandise focus"
